"Class/Section","6-A A"
"Subject","Science"
"Month & Year","January 2026"

"Skill Name","Questions","Section Perf %","School Perf %"
"Advanced or complex data representation or interpretation","2, 7, 27, 31","93.3","93.3"
"Analysis of information to identify trends or properties","8, 9, 23, 28","75.0","75.0"
"Classification/comparison of organisms/processes; giving examples","13, 14, 19, 22, 34, 45","71.1","71.1"
"Definition or description of scientific terms, organisms or materials","4, 5, 30, 32, 42","82.7","82.7"
"Extraction, translation and application of knowledge or information","10, 29, 43, 44","85.0","85.0"
"Hypothesis formulation; design of apparatus or experiment","12, 15, 16, 26, 33","78.7","78.7"
"Integrating different concepts or information for decision making","1, 21, 24, 25, 35","68.0","68.0"
"Knowledge of use of scientific instruments, tools and procedures","6, 36, 38, 41","81.7","81.7"
"Recollection or recognition of science facts and concepts","3, 11, 20","80.0","80.0"
"Representing, relating or explaining scientific processes or observed phenomena","17, 18, 37, 39, 40","52.0","52.0"
