"Class/Section","7 A"
"Subject","English"
"Month & Year","January 2026"

"Skill Name","Questions","Section Perf %","School Perf %"
"Analyses characters and situations","4, 8, 14, 16, 23","85.3","85.3"
"Deduces word meanings from contextual clues","41, 42, 45, 52, 57, 59","78.9","78.9"
"Identifies and recalls direct facts in the passage","1, 5, 13, 21, 29","69.3","69.3"
"Identifies synonyms, antonyms and other words","18, 24, 40, 43, 44, 46, 55","63.8","63.8"
"Identifies the main idea and purpose of the passage","6, 19, 25, 28","85.0","85.0"
"Infers using contextual clues and prior knowledge","17, 22, 27, 30","73.3","73.3"
"Knows punctuation and sentence formation","39, 47, 48, 49, 53, 54, 56","76.2","76.2"
"Registers moods, tones and emotions","2, 7, 9, 15","78.3","78.3"
"Understands idioms, proverbs and figures of speech","12, 38, 51, 58","81.7","81.7"
"Understands organisation and context of the passage","3, 10, 11, 20, 26, 31","74.4","74.4"
"Understands the usage of grammar concepts","32, 33, 34, 35, 36, 37, 50, 60","62.5","62.5"
