"Class/Section","4 A"
"Subject","English"
"Month & Year","January 2026"

"Skill Name","Questions","Section Perf %","School Perf %"
"Analyses and infers hidden ideas","1, 2, 3, 12, 13, 17, 18, 36","75.9","75.9"
"Deduces word meanings from contextual clues","24, 27, 47","71.4","71.4"
"Identifies and recalls direct facts in the passage","14, 19, 20, 23","80.4","80.4"
"Identifies synonyms, antonyms and other words","4, 25, 35, 37, 42, 44, 46, 50","73.2","73.2"
"Identifies the main idea and purpose of the passage","15, 21, 22","78.6","78.6"
"Interprets the lines of a poem","7, 8, 9","71.4","71.4"
"Knows correct spellings and phonics in words","10, 28, 38, 41, 43, 48","58.3","58.3"
"Knows punctuation and sentence formation","11, 16, 39, 40, 45, 49","63.1","63.1"
"Understands organisation and context of the passage","5, 6, 26","61.9","61.9"
"Understands the usage of grammar concepts","29, 30, 31, 32, 33, 34","72.6","72.6"
