"Class/Section","7 A"
"Subject","Science"
"Month & Year","January 2026"

"Skill Name","Questions","Section Perf %","School Perf %"
"Advanced or complex data representation or interpretation","1, 19, 27, 31","63.3","63.3"
"Analysis of information to identify trends or properties","4, 7, 16, 21, 25","54.7","54.7"
"Classification/comparison of organisms/processes; giving examples","3, 11, 29, 32","50.0","50.0"
"Definition or description of scientific terms, organisms or materials","20, 35, 37, 41","61.7","61.7"
"Extraction, translation and application of knowledge or information","8, 12, 33, 44, 45","65.3","65.3"
"Hypothesis formulation; design of apparatus or experiment","14, 22, 23, 39","73.3","73.3"
"Integrating different concepts or information for decision making","13, 24, 38, 40","65.0","65.0"
"Knowledge of use of scientific instruments, tools and procedures","2, 5, 6, 34, 36","64.0","64.0"
"Recollection or recognition of science facts and concepts","10, 15, 17, 26, 28, 30","61.1","61.1"
"Representing, relating or explaining scientific processes or observed phenomena","9, 18, 42, 43","70.0","70.0"
