"Class/Section","5 A"
"Subject","English"
"Month & Year","January 2026"

"Skill Name","Questions","Section Perf %","School Perf %"
"Analyses and infers hidden ideas","4, 18, 20, 21, 27, 28","84.4","84.4"
"Deduces word meanings from contextual clues","3, 6, 13, 22, 29, 45","80.2","80.2"
"Identifies and recalls direct facts in the passage","1, 14, 15, 19, 26","76.3","76.3"
"Identifies synonyms, antonyms and other words","11, 12, 23, 49, 50","73.8","73.8"
"Identifies the main idea and purpose of the passage","10, 16, 17, 24, 25","63.8","63.8"
"Interprets the lines of a poem","7, 8, 46","75.0","75.0"
"Knows correct spellings and phonics in words","5, 36, 38, 39, 40, 48","63.5","63.5"
"Knows punctuation and sentence formation","37, 42, 43, 44","75.0","75.0"
"Understands organisation and context of the passage","2, 9, 41","72.9","72.9"
"Understands the usage of grammar concepts","30, 31, 32, 33, 34, 35, 47","75.0","75.0"
