"Class/Section","8 A"
"Subject","Science"
"Month & Year","January 2026"

"Skill Name","Questions","Section Perf %","School Perf %"
"Advanced or complex data representation or interpretation","3, 16, 17, 29","37.5","37.5"
"Analysis of information to identify trends or properties","2, 4, 8, 11, 14, 31","50.0","50.0"
"Classification/comparison of organisms/processes; giving examples","12, 35, 36, 43","50.0","50.0"
"Definition or description of scientific terms, organisms or materials","10, 20, 40, 41","50.0","50.0"
"Extraction, translation and application of knowledge or information","7, 13, 21, 26","75.0","75.0"
"Hypothesis formulation; design of apparatus or experiment","15, 23, 25, 27, 38","60.0","60.0"
"Integrating different concepts or information for decision making","1, 18, 28, 30","37.5","37.5"
"Knowledge of use of scientific instruments, tools and procedures","6, 19, 24, 33","62.5","62.5"
"Recollection or recognition of science facts and concepts","9, 39, 42, 45","50.0","50.0"
"Representing, relating or explaining scientific processes or observed phenomena","5, 22, 32, 34, 37, 44","50.0","50.0"
