"Class/Section","6 A"
"Subject","English"
"Month & Year","January 2026"

"Skill Name","Questions","Section Perf %","School Perf %"
"Analyses characters and situations","9, 14, 15, 21, 29","77.3","77.3"
"Deduces word meanings from contextual clues","12, 25, 39, 45","90.0","90.0"
"Identifies and recalls direct facts in the passage","1, 5, 19, 22, 28","56.0","56.0"
"Identifies synonyms, antonyms and other words","16, 37, 40, 43, 49, 58, 60","89.5","89.5"
"Identifies the main idea and purpose of the passage","6, 18, 23","60.0","60.0"
"Infers using contextual clues and prior knowledge","3, 27, 44","84.4","84.4"
"Interprets the lines of a poem","7, 8, 10, 11","65.0","65.0"
"Knows correct spellings and phonics in words","46, 51, 52, 55, 56","82.7","82.7"
"Knows punctuation and sentence formation","4, 13, 38, 41, 47, 48, 54, 57","85.0","85.0"
"Understands idioms, proverbs and figures of speech","42, 50, 53, 59","91.7","91.7"
"Understands organisation and context of the passage","2, 17, 20, 24, 26, 30","58.9","58.9"
"Understands the usage of grammar concepts","31, 32, 33, 34, 35, 36","81.1","81.1"
