"Class/Section","8 A"
"Subject","English"
"Month & Year","January 2026"

"Skill Name","Questions","Section Perf %","School Perf %"
"Analyses characters and situations","11, 13, 21, 28","87.5","87.5"
"Deduces word meanings from contextual clues","38, 41, 54, 58, 59, 60","66.7","66.7"
"Identifies and recalls direct facts in the passage","1, 8, 15, 24, 27","80.0","80.0"
"Identifies synonyms, antonyms and other words","2, 19, 25, 39, 40, 42, 43, 56, 57","88.9","88.9"
"Identifies the main idea and purpose of the passage","6, 10, 18, 20, 30","70.0","70.0"
"Infers using contextual clues and prior knowledge","3, 16, 22, 23, 26","90.0","90.0"
"Knows punctuation and sentence formation","37, 45, 46, 47, 48, 49, 50, 51, 52","72.2","72.2"
"Registers moods, tones and emotions","4, 9, 12","66.7","66.7"
"Understands idioms, proverbs and figures of speech","5, 14, 44, 55","75.0","75.0"
"Understands organisation and context of the passage","7, 17, 29","83.3","83.3"
"Understands the usage of grammar concepts","31, 32, 33, 34, 35, 36, 53","57.1","57.1"
