"Class/Section","7 A"
"Subject","Maths"
"Month & Year","January 2026"

"Skill Name","Questions","Section Perf %","School Perf %"
"Algebra: concepts and applications","7, 12, 27","53.3","53.3"
"Applications in daily life: word/visual problems","4, 8, 36","66.7","66.7"
"Factors and multiples","5, 26, 33","62.2","62.2"
"Fractions, decimals and ratios: concepts and applications","10, 18, 29, 35","65.0","65.0"
"Geometry: concepts and applications","1, 6, 17, 23, 31","72.0","72.0"
"Integers: concepts and applications","9, 22, 24, 30","71.7","71.7"
"Measurement and data interpretation","3, 13, 16","57.8","57.8"
"Mensuration: area and perimeter; concepts, computation","11, 14, 21, 32, 39","58.7","58.7"
"Number sense, related competency and computation skills","2, 25, 37, 40","63.3","63.3"
"Problem solving: advanced or challenging problems","15, 19, 20, 28, 34, 38","62.2","62.2"
